spkid,pha,H,e,a,q,i,moid,om,ad,per_y,AMO,APO,ATE,IEO
3651169,1,-0.5267114190650318,0.9355232495804391,0.7345136151086201,-0.2667089253409981,-0.522409873231455,-0.5030178946853203,1.638351821274935,0.8319635968675921,0.6845523088153026,False,True,False,False
54292848,0,-0.016402036968912907,0.23414712647062969,0.6781068446016033,0.8407549381250735,-0.6489807722747573,0.20703966388288514,1.2143502087701061,0.5328761778797205,0.6211933894981295,True,False,False,False
3606220,1,-0.8738606585862005,1.0831813807614519,1.516930109238205,0.20029390865071858,-0.6994187997130656,-0.5874740800656796,0.6339339567229123,1.5652101724507614,1.5806284534438901,False,True,False,False
54321077,1,-0.835674242238871,-1.058997353141546,-1.507018661910532,-1.0228087518037772,0.21417565954685966,-0.620839486635698,1.6763437578263254,-1.3774241111395884,-1.3682766770610988,False,False,True,False
3745995,0,-0.3739657536757171,0.6322561647702062,-1.653676265228775,-2.3971313775508296,0.009568567108438876,-0.4842498534896849,1.7226494514856532,-1.2327043922744891,-1.4696509479685753,False,False,True,False
3755502,0,0.27173183183365657,0.30456869672618964,0.7363331883507818,0.79627847774491,-0.1560204286324226,-0.07135294718570645,-0.4832996583519411,0.6100600279411068,0.6845523088153026,True,False,False,False
3371145,1,-1.2904397460116028,0.785025538953638,0.847327156122653,0.10244569581435878,-0.621382606317947,-0.7522157750051457,-0.337712237368751,0.8705555218982853,0.8112701474496481,False,True,False,False
3781911,1,-0.4919964951129145,1.2774086148533992,1.8153401209527438,0.05352158939617938,0.6310031315842004,-0.38415363377962947,0.34275911475653187,1.9125374977269989,1.9426794209705927,False,True,False,False
54169405,0,-0.3774372460709294,1.5948735968925765,-0.10794879601230496,-1.956814419787211,-0.2435732309781654,0.1757595952234928,-0.34138575795132814,0.3109726089532352,-0.18437001324878247,False,True,False,False
54376460,1,-0.8079023030771781,2.630184262827138,0.05581279578225943,-3.277765293078067,-0.0551443737558058,-0.5436819839425303,-0.23649707815932197,0.7740757093215525,-0.021447077861766767,False,True,False,False
20085182,1,-2.1791417991857944,1.9373268780546937,0.872801181512919,-1.8723091450649003,-0.8431195948674912,-0.7209357063457534,1.6190175024192657,1.3336586222666025,0.838423970014151,False,True,False,False
