"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
3837523,N,20.20,0.5205,2.657,1.274,14.39,0.26,AMO,249.88,4.04,4.33,2460200.5
3721223,N,26.40,0.3666,1.128,0.714,23.37,0.00426,APO,84.91,1.54,1.2,2460200.5
3721289,N,24.10,0.2627,1.067,0.786,1.74,0.0101,APO,237.39,1.35,1.1,2460200.5
3721344,N,20.10,0.3273,1.737,1.169,24.38,0.158,AMO,276.97,2.31,2.29,2460200.5
3721409,N,24.60,0.7055,2.042,0.601,5.71,0.00693,APO,278.53,3.48,2.92,2457192.5
3721411,N,20.15,0.5133,2.502,1.218,14.02,0.292,AMO,116.02,3.79,3.96,2460200.5
3721412,N,22.40,0.3529,1.797,1.163,3.55,0.149,AMO,283.97,2.43,2.41,2460200.5
3721906,N,21.40,0.4691,2.401,1.275,5.92,0.273,AMO,228.38,3.53,3.72,2460200.5
3721907,Y,21.68,0.1969,1.202,0.966,36.45,0.0292,APO,85.51,1.44,1.32,2460200.5
3721904,N,23.58,0.5729,2.465,1.053,0.31,0.0377,AMO,3.34,3.88,3.87,2460200.5
3721905,N,25.40,0.4896,2.102,1.073,1.71,0.0586,AMO,138.88,3.13,3.05,2460200.5
3721909,N,27.50,0.1896,1.145,0.928,2.22,0.000546,APO,259.67,1.36,1.23,2457193.5
3721912,N,25.30,0.6145,2.526,0.974,2.85,0.0176,APO,112.84,4.08,4.01,2460200.5
3721908,N,24.05,0.2403,1.31,0.995,2.75,0.0234,APO,153.35,1.62,1.5,2460200.5
3721910,N,26.80,0.0679,1.117,1.041,3.02,0.0257,AMO,254.51,1.19,1.18,2460200.5
3721990,N,21.00,0.4185,2.186,1.271,2.87,0.262,AMO,168.30,3.10,3.23,2460200.5
3721991,N,19.56,0.6267,1.753,0.654,9.44,0.143,APO,52.15,2.85,2.32,2460200.5
3721989,N,20.00,0.4433,2.249,1.252,6.05,0.242,AMO,147.55,3.25,3.37,2460200.5
3721995,N,19.74,0.5874,1.974,0.814,9.38,0.113,APO,198.11,3.13,2.77,2460200.5
3722211,N,20.19,0.4525,1.219,0.668,17.76,0.241,APO,56.88,1.77,1.35,2460200.5
3722210,N,23.00,0.4719,2.157,1.139,9.35,0.147,AMO,91.67,3.17,3.17,2460200.5
3722517,N,23.60,0.5205,2.12,1.016,7.71,0.037,APO,86.06,3.22,3.09,2460200.5
3722518,N,20.40,0.5270,2.614,1.237,4.40,0.237,AMO,208.20,3.99,4.23,2460200.5
3723597,Y,18.93,0.5361,2.261,1.049,10.43,0.0456,AMO,177.63,3.47,3.4,2460200.5
3723701,N,19.84,0.5715,2.117,0.907,21.87,0.219,APO,265.00,3.33,3.08,2460200.5
3723763,N,19.61,0.4392,2.316,1.299,4.65,0.296,AMO,31.20,3.33,3.52,2460200.5
3723740,N,24.40,0.3515,1.568,1.017,7.39,0.00926,AMO,265.55,2.12,1.96,2460200.5
3723766,N,22.30,0.1490,1.036,0.882,24.33,0.0557,APO,120.85,1.19,1.05,2460200.5
3723767,Y,21.99,0.5667,1.467,0.636,2.46,0.0394,APO,174.84,2.30,1.78,2457201.5
3723815,N,22.20,0.2680,1.481,1.084,9.46,0.176,AMO,264.31,1.88,1.8,2460200.5
3723816,N,19.80,0.5296,1.708,0.803,44.77,0.136,APO,265.06,2.61,2.23,2460200.5
3723817,N,24.00,0.2043,1.24,0.987,15.47,0.00589,APO,105.76,1.49,1.38,2460200.5
3723829,N,23.50,0.1815,1.091,0.893,14.80,0.0283,APO,281.59,1.29,1.14,2460200.5
3723860,N,22.60,0.4467,2.246,1.243,7.27,0.228,AMO,125.59,3.25,3.37,2460200.5
3723940,N,21.70,0.4288,2.173,1.242,8.20,0.249,AMO,109.71,3.11,3.2,2460200.5
3724101,N,20.90,0.5341,2.206,1.028,40.21,0.269,AMO,238.88,3.38,3.28,2460200.5
3724217,N,20.91,0.5205,2.315,1.110,3.21,0.108,AMO,19.16,3.52,3.52,2457193.5
3724222,N,24.90,0.1827,1.227,1.003,11.80,0.0336,APO,96.55,1.45,1.36,2460200.5
3724218,N,21.70,0.4544,2.363,1.289,12.93,0.282,AMO,227.81,3.44,3.63,2457194.5
3724216,N,24.60,0.4105,1.538,0.906,1.09,0.00841,APO,87.25,2.17,1.91,2457196.5
3724223,N,19.37,0.4886,2.305,1.179,7.90,0.176,AMO,2.95,3.43,3.5,2460200.5
3724221,Y,19.61,0.2121,0.8164,0.643,33.64,0.0445,ATE,317.78,0.99,0.738,2460200.5
54298759,N,22.81,0.4619,0.8653,0.466,2.25,0.0167,ATE,95.45,1.27,0.805,2460200.5
3723853,N,19.48,0.8567,2.17,0.311,33.00,0.0674,APO,108.67,4.03,3.2,2460200.5
3723886,N,26.30,0.5074,2.095,1.032,4.57,0.0269,AMO,272.33,3.16,3.03,2457211.5
3723887,N,23.90,0.4946,2.245,1.134,5.20,0.119,AMO,129.05,3.36,3.36,2460200.5
3723888,Y,20.89,0.6482,1.139,0.401,8.14,0.0497,APO,243.63,1.88,1.22,2460200.5
3723922,N,26.00,0.4536,1.802,0.984,4.81,0.0036,APO,275.64,2.62,2.42,2460200.5
3723949,N,21.70,0.3415,1.685,1.109,27.51,0.342,AMO,262.02,2.26,2.19,2460200.5
3723950,N,20.80,0.5007,2.283,1.140,46.38,0.5,AMO,107.20,3.43,3.45,2460200.5
3723951,Y,20.40,0.6708,1.688,0.556,12.28,0.0477,APO,134.40,2.82,2.19,2460200.5
3723955,N,21.27,0.3516,1.108,0.718,28.42,0.19,APO,136.69,1.50,1.17,2460200.5
3723957,N,21.30,0.4214,2.171,1.256,9.73,0.251,AMO,126.12,3.09,3.2,2457214.5
3723958,N,20.72,0.3170,1.558,1.064,28.88,0.275,AMO,248.20,2.05,1.94,2460200.5
3724053,N,23.40,0.3854,1.905,1.171,5.22,0.157,AMO,284.99,2.64,2.63,2460200.5
3724056,N,24.90,0.2254,0.8552,0.662,5.34,0.00492,ATE,272.13,1.05,0.791,2460200.5
3724058,Y,20.92,0.5589,2.254,0.994,8.10,0.00229,APO,192.89,3.51,3.38,2460200.5
3724100,N,21.10,0.4513,2.209,1.212,1.51,0.201,AMO,56.79,3.21,3.28,2460200.5
3724104,N,20.10,0.4191,1.487,0.864,15.21,0.053,APO,306.99,2.11,1.81,2460200.5
3724106,Y,19.43,0.5904,1.829,0.749,4.22,0.0103,APO,139.79,2.91,2.47,2460200.5
3724107,N,23.70,0.5084,2.211,1.087,8.82,0.0781,AMO,132.74,3.34,3.29,2460200.5
3724110,N,21.18,0.1939,1.59,1.281,32.36,0.316,AMO,308.42,1.90,2,2460200.5
3724112,Y,20.60,0.7808,2.015,0.442,6.58,0.0292,APO,175.40,3.59,2.86,2460200.5
3724111,N,22.00,0.1839,0.9662,0.788,6.35,0.0603,ATE,281.81,1.14,0.95,2460200.5
3724113,N,20.70,0.4207,2.199,1.274,9.40,0.276,AMO,155.31,3.12,3.26,2460200.5
3724114,N,22.55,0.5675,1.362,0.589,6.46,0.102,APO,242.48,2.13,1.59,2460200.5
3724198,N,21.39,0.2770,1.134,0.820,7.12,0.105,APO,122.64,1.45,1.21,2460200.5
3893741,N,17.97,0.5957,3.16,1.278,24.80,0.362,AMO,213.38,5.04,5.62,2460200.5
3724206,N,19.87,0.1888,1.321,1.072,15.33,0.0799,AMO,299.31,1.57,1.52,2460200.5
3724212,N,20.60,0.8423,2.019,0.318,6.07,0.0847,APO,71.05,3.72,2.87,2457223.5
3724214,N,22.15,0.5680,2.27,0.981,11.51,0.00196,APO,263.35,3.56,3.42,2460200.5
3724213,N,22.20,0.4155,1.416,0.828,6.87,0.0335,APO,148.79,2.00,1.68,2460200.5
3724242,N,23.60,0.1655,1.122,0.936,7.65,0.0507,APO,135.96,1.31,1.19,2460200.5
3724243,N,22.54,0.5254,2.296,1.089,5.08,0.0771,AMO,288.11,3.50,3.48,2460200.5
3724245,N,27.90,0.3640,0.7894,0.502,1.61,0.00238,ATE,125.46,1.08,0.701,2460200.5
3724244,N,23.50,0.3680,1.975,1.248,0.47,0.231,AMO,343.76,2.70,2.78,2460200.5
3724391,N,19.82,0.6944,3.508,1.072,45.45,0.0656,AMO,347.28,5.94,6.57,2460200.5
3724394,N,21.60,0.3298,1.167,0.782,24.47,0.131,APO,130.29,1.55,1.26,2460200.5
3724392,Y,20.00,0.9026,2.148,0.209,11.64,0.0329,APO,124.76,4.09,3.15,2460200.5
3724393,N,21.20,0.5455,1.221,0.555,28.75,0.254,APO,300.48,1.89,1.35,2460200.5
3724395,N,22.11,0.2231,1.413,1.098,16.40,0.143,AMO,316.00,1.73,1.68,2460200.5
3724396,N,20.65,0.4768,2.335,1.221,9.74,0.208,AMO,127.88,3.45,3.57,2460200.5
3724397,N,22.58,0.4397,2.096,1.174,7.14,0.181,AMO,101.44,3.02,3.03,2460200.5
3724398,N,26.82,0.1523,1.234,1.046,1.87,0.0354,AMO,299.67,1.42,1.37,2457224.5
3724516,N,24.20,0.5155,1.854,0.898,1.88,0.000898,APO,294.56,2.81,2.52,2460200.5
3724515,N,24.00,0.4825,2.142,1.108,8.47,0.0947,AMO,301.39,3.18,3.13,2460200.5
3724517,N,21.71,0.5414,1.343,0.616,8.69,0.0985,APO,287.20,2.07,1.56,2460200.5
3724583,N,24.10,0.1439,1.166,0.998,12.92,0.0546,APO,123.39,1.33,1.26,2460200.5
3724644,Y,18.17,0.6449,2.586,0.918,4.49,0.0367,APO,134.65,4.25,4.16,2460200.5
3724645,N,22.13,0.0339,1.153,1.114,14.98,0.13,AMO,297.89,1.19,1.24,2460200.5
3724646,N,24.50,0.3429,1.397,0.918,4.94,0.0245,APO,310.73,1.88,1.65,2460200.5
3724676,N,19.02,0.5208,2.252,1.079,18.52,0.259,AMO,276.03,3.42,3.38,2460200.5
54105115,N,20.50,0.3563,1.796,1.156,10.41,0.205,AMO,98.41,2.44,2.41,2460200.5
3725122,N,21.98,0.4085,2.097,1.240,5.18,0.234,AMO,84.65,2.95,3.04,2460200.5
3725151,N,20.90,0.7549,2.265,0.555,7.46,0.0756,APO,10.43,3.98,3.41,2460200.5
3725154,N,22.31,0.4839,2.302,1.188,10.23,0.177,AMO,316.20,3.42,3.49,2460200.5
3725657,N,22.20,0.5166,1.656,0.801,8.45,0.0253,APO,127.86,2.51,2.13,2460200.5
3725756,N,19.83,0.3949,1.575,0.953,40.42,0.132,APO,119.50,2.20,1.98,2460200.5
3725978,N,19.70,0.5489,2.561,1.155,22.74,0.239,AMO,343.74,3.97,4.1,2460200.5
3726013,N,23.16,0.2396,1.586,1.206,3.59,0.199,AMO,4.29,1.97,2,2460200.5
3726016,N,21.90,0.4413,2.174,1.215,8.26,0.214,AMO,302.03,3.13,3.21,2460200.5
3726331,N,22.29,0.1312,1.251,1.087,19.42,0.116,AMO,115.96,1.42,1.4,2457227.5
3726333,N,23.74,0.3854,1.69,1.039,12.16,0.167,AMO,113.68,2.34,2.2,2457230.5
3726336,N,25.60,0.2397,1.428,1.086,1.17,0.0723,AMO,43.48,1.77,1.71,2457230.5
3726337,N,22.79,0.5078,2.507,1.234,13.33,0.247,AMO,115.76,3.78,3.97,2457230.5
3724947,N,19.40,0.7546,2.159,0.530,7.98,0.12,APO,251.27,3.79,3.17,2460200.5
3724948,N,19.26,0.6359,1.848,0.673,12.09,0.181,APO,242.78,3.02,2.51,2460200.5
3724986,N,28.12,0.6159,2.054,0.789,7.66,0.000262,APO,133.17,3.32,2.94,2460200.5
3724985,N,20.10,0.5119,2.239,1.093,23.58,0.196,AMO,127.87,3.38,3.35,2460200.5
3724987,Y,20.45,0.6330,1.308,0.480,7.46,0.0134,APO,181.08,2.14,1.5,2460200.5
3725034,N,22.70,0.4900,2.206,1.125,6.14,0.115,AMO,330.46,3.29,3.28,2460200.5
3725035,N,20.20,0.4285,2.223,1.270,5.00,0.271,AMO,157.52,3.18,3.31,2460200.5
3725036,N,20.80,0.4676,2.198,1.170,5.54,0.193,AMO,318.02,3.23,3.26,2460200.5
3725152,N,23.70,0.2343,1.207,0.924,11.13,0.0127,APO,316.15,1.49,1.33,2460200.5
3725153,N,27.10,0.6482,2.754,0.969,5.10,0.0014,APO,315.13,4.54,4.57,2460200.5
3725155,N,24.50,0.2129,1.344,1.058,10.73,0.0504,AMO,308.60,1.63,1.56,2460200.5
3725156,N,22.60,0.4846,2.117,1.091,6.50,0.0786,AMO,324.26,3.14,3.08,2460200.5
3725654,N,22.80,0.8574,2.451,0.350,7.84,0.0458,APO,149.77,4.55,3.84,2457248.5
3725652,N,24.00,0.5202,1.233,0.591,6.56,0.0132,APO,134.56,1.87,1.37,2457246.5
3725653,N,23.00,0.2596,1.276,0.945,23.29,0.116,APO,312.68,1.61,1.44,2460200.5
3725655,N,23.20,0.4206,2.107,1.221,0.33,0.207,AMO,232.49,2.99,3.06,2457247.5
3725656,N,23.20,0.4687,2.322,1.234,9.25,0.219,AMO,134.29,3.41,3.54,2460200.5
3725658,N,25.00,0.5852,2.625,1.089,2.09,0.0745,AMO,121.65,4.16,4.25,2460200.5
3725659,N,24.50,0.3588,1.189,0.763,2.06,0.019,APO,279.50,1.62,1.3,2460200.5
3725760,N,24.44,0.6194,2.521,0.960,4.73,0.0495,APO,133.86,4.08,4,2460200.5
3725757,N,25.70,0.1441,1.12,0.959,1.63,0.00377,APO,112.61,1.28,1.19,2460200.5
3725759,N,18.66,0.7340,2.206,0.587,17.37,0.269,APO,112.87,3.83,3.28,2460200.5
3725758,N,22.28,0.3717,1.739,1.093,13.47,0.241,AMO,303.15,2.39,2.29,2460200.5
3725761,N,20.11,0.4692,2.315,1.229,20.39,0.437,AMO,130.04,3.40,3.52,2460200.5
3725762,N,21.40,0.3175,1.821,1.243,13.58,0.234,AMO,285.76,2.40,2.46,2460200.5
3725971,N,24.10,0.4742,2.124,1.117,9.36,0.103,AMO,129.64,3.13,3.1,2457245.5
3725970,N,21.50,0.3384,1.763,1.166,58.58,0.158,AMO,135.36,2.36,2.34,2457246.5
3725969,N,24.39,0.4190,1.723,1.001,6.72,0.0276,APO,158.34,2.44,2.26,2460200.5
3725972,N,23.90,0.5913,2.4,0.981,1.40,0.00383,APO,29.55,3.82,3.72,2457248.5
3725974,N,26.70,0.3240,1.337,0.904,3.84,0.00536,APO,317.36,1.77,1.55,2460200.5
3725975,N,23.60,0.4627,2.175,1.169,8.08,0.155,AMO,132.92,3.18,3.21,2460200.5
3725976,N,25.60,0.4709,1.822,0.964,7.54,0.0512,APO,134.48,2.68,2.46,2457246.5
3725977,N,19.64,0.5011,1.532,0.764,12.36,0.104,APO,319.72,2.30,1.9,2460200.5
3725979,N,22.70,0.4549,2.36,1.286,2.00,0.273,AMO,346.67,3.43,3.63,2460200.5
3725980,N,22.00,0.5189,1.145,0.551,25.80,0.124,APO,308.66,1.74,1.23,2457247.5
3726014,Y,19.92,0.6894,2.596,0.806,7.28,0.034,APO,320.47,4.39,4.18,2460200.5
3726012,N,28.80,0.0840,1.057,0.968,0.44,0.00433,APO,272.74,1.15,1.09,2460200.5
3726015,Y,20.30,0.7890,2.287,0.483,9.40,0.017,APO,300.69,4.09,3.46,2460200.5
3726020,N,20.50,0.5605,2.425,1.066,14.33,0.0684,AMO,322.16,3.78,3.78,2460200.5
3726021,N,18.20,0.7185,1.811,0.510,47.57,0.114,APO,342.22,3.11,2.44,2460200.5
3726022,N,21.50,0.5121,2.265,1.105,6.18,0.116,AMO,314.84,3.43,3.41,2460200.5
3726023,N,20.20,0.5313,2.638,1.236,6.64,0.258,AMO,338.99,4.04,4.28,2460200.5
3726042,N,22.00,0.4967,2.11,1.062,7.69,0.113,AMO,198.85,3.16,3.07,2460200.5
3726044,N,26.80,0.2818,1.491,1.071,1.68,0.0573,AMO,331.12,1.91,1.82,2460200.5
3726386,N,18.29,0.7830,2.377,0.516,16.51,0.158,APO,97.59,4.24,3.67,2460200.5
3726447,N,25.70,0.4892,1.614,0.825,5.23,0.00251,APO,128.88,2.40,2.05,2457246.5
3726510,Y,21.72,0.8604,2.18,0.304,8.03,0.0446,APO,142.10,4.06,3.22,2457249.5
3726594,N,19.39,0.5415,1.461,0.670,31.02,0.312,APO,325.64,2.25,1.77,2460200.5
3732687,N,23.10,0.5476,1.707,0.772,7.46,0.0219,APO,137.33,2.64,2.23,2457246.5
3726316,N,22.90,0.5276,2.355,1.112,2.27,0.102,AMO,319.90,3.60,3.61,2460200.5
3726318,N,24.20,0.4023,1.752,1.047,1.23,0.0334,AMO,151.97,2.46,2.32,2460200.5
3726424,N,23.20,0.5614,1.047,0.459,13.91,0.0621,APO,140.11,1.63,1.07,2457251.5
3726425,N,23.80,0.3919,1.571,0.955,20.04,0.0278,APO,322.53,2.19,1.97,2460200.5
3726443,N,21.00,0.5647,2.442,1.063,8.27,0.08,AMO,186.40,3.82,3.82,2460200.5
3726444,N,23.80,0.1635,1.227,1.026,15.27,0.0564,AMO,323.05,1.43,1.36,2460200.5
3726445,N,26.30,0.5857,2.472,1.024,5.59,0.0136,AMO,325.04,3.92,3.89,2460200.5
3726446,N,27.00,0.1959,1.255,1.009,11.83,0.0111,APO,327.65,1.50,1.41,2460200.5
3726448,N,20.80,0.4296,2.182,1.245,35.69,0.236,AMO,338.46,3.12,3.22,2460200.5
3726511,N,20.36,0.5311,0.706,0.331,16.15,0.0603,ATE,159.69,1.08,0.593,2460200.5
3726512,N,19.64,0.9188,2.487,0.202,19.90,0.0951,APO,152.98,4.77,3.92,2460200.5
3726513,Y,19.42,0.8501,2.266,0.340,10.04,0.0367,APO,158.77,4.19,3.41,2460200.5
3726514,N,24.06,0.2903,1.45,1.029,14.88,0.0595,AMO,331.93,1.87,1.75,2460200.5
3726595,N,21.30,0.5020,2.389,1.190,6.52,0.224,AMO,127.51,3.59,3.69,2460200.5
3726596,N,25.70,0.0907,1.019,0.926,12.88,0.0202,APO,144.47,1.11,1.03,2460200.5
3726597,N,24.00,0.7999,2.155,0.431,5.06,0.00327,APO,153.15,3.88,3.16,2460200.5
3726598,N,27.00,0.5054,2.072,1.025,6.80,0.0143,AMO,151.51,3.12,2.98,2460200.5
3726599,N,23.72,0.2806,1.516,1.091,12.83,0.0824,AMO,152.21,1.94,1.87,2460200.5
3726654,N,24.20,0.4453,2.111,1.171,5.46,0.161,AMO,140.77,3.05,3.07,2457257.5
3726655,N,20.20,0.5351,2.408,1.120,29.60,0.426,AMO,146.66,3.70,3.74,2460200.5
3726656,N,23.30,0.5900,2.331,0.956,5.90,0.0252,APO,317.69,3.71,3.56,2460200.5
3726652,N,24.40,0.4125,1.548,0.909,7.03,0.0259,APO,155.32,2.19,1.93,2457258.5
3726653,N,27.80,0.2238,1.291,1.002,7.42,0.00465,APO,326.12,1.58,1.47,2460200.5
3726657,N,25.20,0.5716,2.433,1.042,3.93,0.0382,AMO,164.80,3.82,3.8,2460200.5
3726658,N,24.00,0.5927,1.707,0.695,7.17,0.0206,APO,156.97,2.72,2.23,2457259.5
3726663,N,22.50,0.3558,1.674,1.078,27.35,0.128,AMO,321.95,2.27,2.17,2460200.5
3726665,N,21.20,0.5412,2.458,1.128,3.48,0.111,AMO,260.31,3.79,3.85,2460200.5
3726669,N,25.02,0.3163,1.366,0.934,31.58,0.0183,APO,148.13,1.80,1.6,2460200.5
3726684,N,20.50,0.1365,1.223,1.056,32.27,0.166,AMO,172.23,1.39,1.35,2460200.5
3726710,N,24.30,0.6225,2.373,0.896,27.46,0.0237,APO,163.05,3.85,3.66,2460200.5
3726709,N,25.90,0.5053,2.064,1.021,6.38,0.0307,AMO,343.26,3.11,2.97,2460200.5
3726711,Y,20.60,0.5124,2.138,1.042,7.97,0.0499,AMO,336.42,3.23,3.13,2460200.5
3726712,N,25.41,0.2553,0.9545,0.711,1.79,0.0081,ATE,166.24,1.20,0.933,2460200.5
3726713,N,24.40,0.6056,2.344,0.925,15.26,0.0256,APO,342.81,3.76,3.59,2457273.5
3726714,N,19.74,0.4732,2.247,1.183,22.76,0.355,AMO,326.84,3.31,3.37,2460200.5
3726784,N,20.10,0.5692,2.965,1.277,15.33,0.268,AMO,151.53,4.65,5.11,2460200.5
3726783,N,22.70,0.5551,2.136,0.950,5.60,0.0382,APO,158.26,3.32,3.12,2460200.5
3726787,N,22.90,0.4594,2.13,1.151,7.68,0.144,AMO,160.17,3.11,3.11,2460200.5
3726785,N,19.26,0.3926,1.745,1.060,14.67,0.134,AMO,121.01,2.43,2.31,2460200.5
3726789,N,22.64,0.2915,1.579,1.119,33.02,0.11,AMO,341.31,2.04,1.98,2457274.5
3726788,N,26.70,0.5867,2.481,1.026,4.49,0.0217,AMO,341.41,3.94,3.91,2460200.5
3726791,Y,22.01,0.2663,1.217,0.893,5.36,0.0105,APO,332.40,1.54,1.34,2460200.5
3726801,N,23.60,0.3364,1.821,1.208,8.90,0.199,AMO,160.84,2.43,2.46,2460200.5
3726809,N,24.40,0.4866,2.104,1.080,6.90,0.0717,AMO,157.63,3.13,3.05,2460200.5
3726808,N,23.90,0.5316,2.448,1.146,2.53,0.138,AMO,8.16,3.75,3.83,2457273.5
3726810,N,22.60,0.5578,2.603,1.151,14.96,0.143,AMO,160.03,4.05,4.2,2460200.5
3726815,N,24.20,0.5911,2.655,1.086,3.40,0.0761,AMO,343.52,4.22,4.33,2460200.5
3726816,N,27.40,0.4317,1.775,1.009,1.26,0.00567,APO,168.68,2.54,2.36,2457278.5
3726817,N,21.70,0.4605,2.132,1.150,7.83,0.136,AMO,314.70,3.11,3.11,2460200.5
3726818,N,22.20,0.4708,1.765,0.934,5.66,0.0629,APO,342.15,2.60,2.34,2460200.5
3727038,N,23.10,0.5990,2.796,1.121,13.97,0.14,AMO,0.04,4.47,4.68,2460200.5
3727040,N,23.90,0.1701,1.373,1.140,9.08,0.155,AMO,167.74,1.61,1.61,2457275.5
3727036,N,26.30,0.3107,1.562,1.077,1.83,0.0686,AMO,349.82,2.05,1.95,2460200.5
3727039,N,23.24,0.3474,1.475,0.962,0.23,0.00351,APO,147.98,1.99,1.79,2460200.5
3727035,N,25.70,0.5415,2.237,1.026,1.20,0.0164,AMO,343.45,3.45,3.35,2457275.5
3727041,N,24.30,0.3197,1.596,1.086,7.06,0.0851,AMO,166.56,2.11,2.02,2460200.5
3727043,N,22.70,0.4115,2.156,1.269,8.18,0.262,AMO,169.33,3.04,3.17,2460200.5
3727044,N,24.00,0.1103,1.235,1.098,23.60,0.0951,AMO,169.16,1.37,1.37,2457276.5
3727045,N,29.20,0.2604,1.231,0.910,3.41,0.00472,APO,346.04,1.55,1.37,2460200.5
3727063,N,26.60,0.3547,1.503,0.970,2.98,0.00449,APO,164.51,2.04,1.84,2457279.5
3727065,N,24.70,0.4802,2.199,1.143,8.62,0.142,AMO,169.40,3.26,3.26,2457276.5
3727066,N,18.93,0.7038,2.483,0.736,10.25,0.137,APO,243.22,4.23,3.91,2460200.5
3727174,Y,19.82,0.6415,2.602,0.933,34.50,0.0468,APO,156.11,4.27,4.2,2460200.5
3727175,N,25.10,0.4781,2.175,1.135,4.99,0.13,AMO,170.88,3.21,3.21,2457276.5
3727173,N,23.74,0.4888,2.148,1.098,8.54,0.115,AMO,347.57,3.20,3.15,2457820.5
3727177,N,22.55,0.9254,2.542,0.190,0.44,0.00412,APO,17.61,4.89,4.05,2460200.5
3727180,N,22.09,0.3902,1.31,0.799,0.08,0.000509,APO,182.11,1.82,1.5,2460200.5
3727176,N,23.40,0.1187,0.9492,0.836,7.25,0.0349,ATE,182.46,1.06,0.925,2460200.5
3727178,N,20.20,0.2670,1.476,1.082,9.16,0.0993,AMO,39.07,1.87,1.79,2460200.5
3727179,N,23.60,0.5304,2.359,1.108,7.46,0.102,AMO,168.81,3.61,3.62,2460200.5
3727181,N,22.90,0.4339,1.166,0.660,20.32,0.00642,APO,348.33,1.67,1.26,2460200.5
3727187,N,24.50,0.3906,1.603,0.977,3.06,0.0168,APO,355.85,2.23,2.03,2460200.5
3727232,N,25.50,0.4847,1.635,0.842,4.02,0.0196,APO,350.01,2.43,2.09,2457277.5
3727233,N,23.10,0.1389,1.05,0.904,19.98,0.0906,APO,172.65,1.20,1.08,2460200.5
3727234,N,24.40,0.2919,1.6,1.133,9.84,0.146,AMO,353.87,2.07,2.02,2460200.5
3727265,N,26.10,0.5014,2.127,1.060,0.45,0.0486,AMO,329.70,3.19,3.1,2457277.5
3727273,N,23.20,0.1398,1.414,1.216,28.17,0.21,AMO,348.40,1.61,1.68,2460200.5
3727275,N,24.70,0.4556,2.132,1.161,5.73,0.156,AMO,171.62,3.10,3.11,2460200.5
3727274,N,20.00,0.3257,1.883,1.270,7.29,0.287,AMO,159.54,2.50,2.58,2460200.5
3727277,N,24.00,0.3994,1.526,0.916,2.14,0.0118,APO,85.50,2.14,1.88,2460200.5
3727276,N,19.89,0.4841,2.229,1.150,37.49,0.518,AMO,167.56,3.31,3.33,2460200.5
3727278,N,20.14,0.4159,2.116,1.236,3.78,0.22,AMO,130.22,3.00,3.08,2460200.5
3727339,N,20.73,0.3536,1.192,0.770,10.18,0.135,APO,319.52,1.61,1.3,2460200.5
3727340,N,22.80,0.3567,1.15,0.740,22.61,0.214,APO,168.56,1.56,1.23,2457277.5
3727343,N,23.70,0.6402,3.032,1.091,1.74,0.0819,AMO,350.20,4.97,5.28,2460200.5
3727344,N,23.40,0.4627,1.77,0.951,0.41,0.000436,APO,127.49,2.59,2.35,2457280.5
3727338,Y,19.59,0.6201,2.469,0.938,24.75,0.00943,APO,193.75,4.00,3.88,2460200.5
3727341,N,22.20,0.6019,2.397,0.954,4.10,0.0617,APO,329.37,3.84,3.71,2460200.5
3727345,N,21.00,0.6040,1.056,0.418,33.15,0.444,APO,351.21,1.69,1.08,2460200.5
3727342,N,23.30,0.4216,2.212,1.279,9.01,0.273,AMO,167.21,3.14,3.29,2457279.5
3727346,N,25.70,0.2136,1.236,0.972,3.96,0.00849,APO,165.19,1.50,1.37,2460200.5
3727347,N,23.30,0.4595,2.176,1.176,8.75,0.19,AMO,5.57,3.18,3.21,2460200.5
3727350,N,23.10,0.4522,2.22,1.216,12.56,0.226,AMO,349.99,3.22,3.31,2460200.5
3727348,N,26.60,0.5444,2.194,1.000,6.79,0.0233,APO,346.95,3.39,3.25,2457278.5
3727349,N,20.40,0.4878,1.657,0.849,27.48,0.149,APO,22.34,2.46,2.13,2460200.5
3727630,N,22.38,0.1968,1.207,0.969,15.16,0.0214,APO,156.76,1.44,1.33,2460200.5
3727632,N,24.90,0.4565,2.109,1.146,7.03,0.14,AMO,171.53,3.07,3.06,2457279.5
3727634,N,25.10,0.4842,2.234,1.152,0.51,0.149,AMO,36.26,3.32,3.34,2460200.5
3727633,N,24.80,0.5341,2.323,1.082,5.26,0.083,AMO,353.31,3.56,3.54,2460200.5
3727635,N,20.73,0.4519,2.098,1.150,13.66,0.163,AMO,165.72,3.05,3.04,2460200.5
3727631,N,24.90,0.2403,1.481,1.125,6.82,0.141,AMO,164.25,1.84,1.8,2460200.5
3727638,N,23.00,0.5480,2.395,1.083,4.29,0.105,AMO,67.73,3.71,3.71,2460200.5
3727637,N,22.30,0.3565,1.698,1.093,19.51,0.0864,AMO,347.61,2.30,2.21,2460200.5
3727639,N,21.70,0.2799,1.506,1.084,19.54,0.154,AMO,175.93,1.93,1.85,2460200.5
3727636,N,25.00,0.3320,1.507,1.006,5.84,0.00928,APO,166.01,2.01,1.85,2460200.5
3727641,N,20.78,0.2009,1.563,1.249,4.76,0.269,AMO,279.57,1.88,1.95,2460200.5
3727642,N,21.30,0.1246,1.477,1.293,34.19,0.293,AMO,11.64,1.66,1.79,2460200.5
3727643,N,19.29,0.7655,2.796,0.656,11.64,0.157,APO,70.08,4.94,4.67,2460200.5
