"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20329291,N,19.21,0.3453,1.786,1.169,10.64,0.153,AMO,110.63,2.40,2.39,2460200.5
20329338,N,19.26,0.4884,1.698,0.869,9.59,0.0829,APO,247.22,2.53,2.21,2460200.5
20329340,N,19.32,0.0346,1.232,1.189,12.55,0.221,AMO,270.16,1.27,1.37,2460200.5
20329343,N,20.14,0.2688,1.708,1.249,23.50,0.248,AMO,170.48,2.17,2.23,2460200.5
20329390,N,19.35,0.4799,2.001,1.041,27.95,0.263,AMO,92.62,2.96,2.83,2460200.5
20329395,N,17.77,0.6479,2.255,0.794,34.75,0.0898,APO,72.92,3.72,3.39,2460200.5
20329437,Y,19.41,0.2431,0.9355,0.708,6.89,0.0352,ATE,174.05,1.16,0.905,2460200.5
20329520,N,19.87,0.2364,1.402,1.071,16.78,0.092,AMO,352.63,1.73,1.66,2460200.5
20329571,N,18.98,0.2787,1.461,1.054,27.32,0.15,AMO,243.58,1.87,1.77,2460200.5
20329614,Y,17.79,0.6773,2.689,0.868,5.40,0.0264,APO,105.24,4.51,4.41,2460200.5
20329669,N,16.71,0.5360,2.719,1.262,3.89,0.264,AMO,238.35,4.18,4.48,2460200.5
20329713,N,18.89,0.4360,2.151,1.213,7.67,0.241,AMO,91.21,3.09,3.16,2460200.5
20329770,N,17.94,0.6284,1.356,0.504,29.59,0.137,APO,56.86,2.21,1.58,2460200.5
20329774,N,16.73,0.8370,2.648,0.432,40.41,0.562,APO,211.54,4.86,4.31,2460200.5
20329915,N,17.04,0.7929,0.9854,0.204,41.36,0.0689,ATE,88.60,1.77,0.978,2460200.5
20330233,Y,18.82,0.3740,1.543,0.966,37.08,0.00113,APO,220.04,2.12,1.92,2460200.5
20330659,N,22.99,0.2777,1.587,1.146,13.02,0.143,AMO,198.66,2.03,2,2460200.5
20330809,N,19.30,0.5056,1.542,0.762,6.91,0.0842,APO,308.16,2.32,1.91,2460200.5
20330825,N,16.40,0.5505,2.609,1.173,7.47,0.19,AMO,315.18,4.05,4.21,2460200.5
20331471,N,15.57,0.8933,2.501,0.267,14.28,0.136,APO,142.27,4.74,3.96,2460200.5
20331509,N,18.32,0.3393,1.677,1.108,38.24,0.368,AMO,106.16,2.25,2.17,2460200.5
20331510,N,17.65,0.5520,2.72,1.219,11.89,0.318,AMO,119.64,4.22,4.49,2460200.5
20331769,N,19.92,0.2453,1.425,1.076,8.48,0.0997,AMO,136.99,1.78,1.7,2460200.5
20331792,N,16.03,0.5334,2.685,1.253,27.91,0.373,AMO,305.09,4.12,4.4,2460200.5
20331876,Y,20.56,0.5363,1.285,0.596,13.31,0.023,APO,109.40,1.97,1.46,2460200.5
20331963,N,17.70,0.4167,1.953,1.139,31.47,0.294,AMO,263.83,2.77,2.73,2460200.5
20331990,N,19.76,0.3939,1.461,0.885,11.33,0.097,APO,13.34,2.04,1.77,2460200.5
20331999,N,19.29,0.2860,1.741,1.243,13.39,0.227,AMO,102.13,2.24,2.3,2460200.5
20332408,N,17.82,0.5683,1.401,0.605,38.21,0.163,APO,242.57,2.20,1.66,2460200.5
20332446,Y,19.69,0.4101,1.38,0.814,8.93,0.00125,APO,109.31,1.95,1.62,2460200.5
20332775,N,19.70,0.4618,1.547,0.833,6.06,0.0742,APO,163.68,2.26,1.92,2460200.5
20333284,N,18.09,0.3597,1.675,1.073,34.48,0.307,AMO,319.44,2.28,2.17,2460200.5
20333358,N,19.60,0.3032,1.502,1.047,14.07,0.127,AMO,243.65,1.96,1.84,2460200.5
20333478,N,18.05,0.4648,0.8753,0.468,21.33,0.18,ATE,46.55,1.28,0.819,2460200.5
20333480,N,20.32,0.4072,1.121,0.664,14.11,0.139,APO,16.43,1.58,1.19,2460200.5
20333510,N,18.83,0.6076,1.759,0.690,20.74,0.255,APO,188.93,2.83,2.33,2460200.5
20333521,Y,20.08,0.3733,1.252,0.785,12.51,0.0182,APO,300.49,1.72,1.4,2460200.5
20333555,N,17.41,0.4390,1.984,1.113,25.40,0.295,AMO,79.04,2.86,2.8,2460200.5
20333578,Y,20.20,0.3766,1.573,0.981,11.68,0.0131,APO,169.46,2.17,1.97,2460200.5
20333707,N,19.41,0.2756,1.27,0.920,16.14,0.072,APO,269.55,1.62,1.43,2460200.5
20333755,N,19.32,0.5587,1.156,0.510,20.96,0.332,APO,182.23,1.80,1.24,2460200.5
20333888,N,16.81,0.5909,2.836,1.160,9.15,0.188,AMO,238.62,4.51,4.78,2460200.5
20333889,N,18.25,0.6420,0.8165,0.292,53.30,0.336,ATE,177.24,1.34,0.738,2460200.5
20333908,N,17.84,0.3908,1.886,1.149,37.28,0.192,AMO,212.32,2.62,2.59,2460200.5
20334412,N,20.31,0.0460,1.249,1.192,13.03,0.189,AMO,181.07,1.31,1.4,2460200.5
20334673,N,18.00,0.4170,1.684,0.982,15.72,0.132,APO,312.95,2.39,2.19,2460200.5
20335746,N,18.35,0.2690,1.641,1.200,29.04,0.26,AMO,176.34,2.08,2.1,2460200.5
20335758,N,19.68,0.2676,1.651,1.209,3.58,0.221,AMO,78.23,2.09,2.12,2460200.5
20337053,N,19.03,0.4544,1.725,0.941,30.58,0.242,APO,247.81,2.51,2.27,2460200.5
20337069,N,18.69,0.4299,2.258,1.287,5.20,0.291,AMO,349.35,3.23,3.39,2460200.5
20337075,Y,19.82,0.5901,1.983,0.813,9.65,0.017,APO,308.35,3.15,2.79,2460200.5
20337084,N,19.82,0.0991,1.342,1.209,11.68,0.211,AMO,199.22,1.47,1.55,2460200.5
20337118,N,18.36,0.4639,1.281,0.687,61.38,0.2,APO,179.94,1.88,1.45,2460200.5
20337119,N,18.61,0.3928,1.683,1.022,24.50,0.194,AMO,359.05,2.34,2.18,2460200.5
20337248,N,20.11,0.5513,0.8259,0.371,19.65,0.176,ATE,177.87,1.28,0.751,2460200.5
20337252,N,20.82,0.3137,1.129,0.775,6.55,0.0871,APO,19.07,1.48,1.2,2460200.5
20337345,N,20.66,0.1213,1.22,1.072,14.19,0.148,AMO,75.24,1.37,1.35,2460200.5
20337557,N,18.64,0.2340,1.691,1.296,43.34,0.292,AMO,347.28,2.09,2.2,2460200.5
20337558,Y,19.33,0.5829,1.962,0.818,4.82,0.0299,APO,359.04,3.11,2.75,2460200.5
20337866,N,18.80,0.4754,1.986,1.042,6.94,0.0613,AMO,112.16,2.93,2.8,2460200.5
20338049,N,17.35,0.5459,2.212,1.004,40.92,0.315,APO,118.05,3.42,3.29,2460200.5
20338172,N,17.46,0.4905,2.22,1.131,16.50,0.148,AMO,196.02,3.31,3.31,2460200.5
20338176,N,16.84,0.5651,2.956,1.286,27.98,0.374,AMO,208.88,4.63,5.08,2460200.5
20338292,N,19.11,0.4872,0.7988,0.410,30.71,0.192,ATE,209.31,1.19,0.714,2460200.5
20338347,N,18.31,0.4779,2.268,1.184,20.98,0.315,AMO,259.12,3.35,3.42,2460200.5
20338567,N,19.49,0.2836,1.738,1.245,36.68,0.347,AMO,183.05,2.23,2.29,2460200.5
20339492,N,18.37,0.2153,1.426,1.119,47.03,0.16,AMO,203.24,1.73,1.7,2460200.5
20339714,N,20.36,0.3709,1.451,0.913,20.23,0.128,APO,7.56,1.99,1.75,2460200.5
20339715,N,18.97,0.7516,1.46,0.363,14.58,0.19,APO,28.66,2.56,1.76,2460200.5
20340048,N,19.10,0.2610,1.45,1.071,19.54,0.111,AMO,221.81,1.83,1.75,2460200.5
20340291,N,19.91,0.3820,1.146,0.709,20.20,0.0583,APO,330.39,1.58,1.23,2460200.5
20340666,N,17.82,0.2313,0.9064,0.697,23.85,0.112,ATE,270.92,1.12,0.863,2460200.5
20341050,N,20.42,0.1425,1.329,1.140,7.42,0.202,AMO,208.31,1.52,1.53,2460200.5
